Time (days),Normalized flux
-47.96545999999944,0.001664728184171
-47.91962000000058,0.0017902249756458
-47.9187299999976,0.0013411658118519
-47.82203999999911,0.0004511562362253
-46.91747999999643,0.0017229744312851
-46.89658999999665,0.0002228951146335
-44.86501000000135,0.0019136113002154
-43.96729999999661,0.0016341135529746
-43.94744999999966,0.0024378764240619
-43.94653000000108,0.0020210171838785
-43.00256999999692,0.0005444664502437
-42.96841000000131,0.0008474288761431
-42.93419999999605,0.0019465559868646
-41.96340000000055,0.0008492577473272
-41.94979999999487,0.0013531920403051
-41.82264999999461,0.0018912233166838
-40.98934000000008,0.0007181548017357
-40.90323999999964,0.0017971044863184
-40.90234000000055,0.0
-40.85269999999582,0.0002971529703984
-33.999329999998736,0.0030837175829963
-33.998279999999795,0.0018717279781932
-33.9867099999974,0.0018282007175854
-33.97019,0.0017525726147799
-32.032319999998435,0.0021343497184327
-31.99985999999626,0.0010834687633644
-31.98084999999992,0.0012539088450266
-30.941739999994752,0.0020689013162887
-30.940849999999045,0.0019380744378129
-30.91576999999961,0.0008360639267308
-29.98081999999704,0.0006706238241438
-29.96633999999904,0.0019451421121632
-29.94024999999965,0.0015704374031998
-29.77595999999903,0.0011381833355486
-29.775509999999485,0.0010385949236435
-29.76470999999583,0.0004069198643353
-28.988789999995788,0.0042057132251272
-28.033989999996265,0.0011676734682815
-28.00776999999653,0.002085421042785
-28.00684999999794,0.0037435294802563
-27.98595999999816,0.0022570378876883
-21.84270000000106,0.0011558867458686
-21.841769999999087,0.0019128002318264
-21.82347999999911,0.0009251200751278
-21.792990000001737,0.0004362883138067
-20.924059999997557,0.0013039634343298
-19.94135999999708,0.0040910793231699
-15.961739999998828,0.0013690777726958
-15.93630999999732,0.001390927113875
-15.935399999994845,0.0011361519696063
-15.913229999998292,0.0023152965125226
-11.997849999999744,0.1087027438639885
-11.983769999998913,0.1129797576006385
-11.98286999999982,0.1082633124929259
-11.961810000000696,0.1123919540388042
-8.98055999999633,0.3476730222707079
-6.051869999995688,0.6264973673918693
-0.0189899999968474,0.990315464815558
0.0,1.0
0.0008999999990919,0.9999490168959786
6.977599999998347,0.886931967280852
8.00963000000047,0.8672992238128077
8.038400000004913,0.8615345443808541
8.050320000002102,0.8788534911477377
9.957900000001246,0.8072100391939534
9.970870000004652,0.8007537067322222
9.971770000003744,0.7905192664153899
10.095690000001923,0.7959678957631064
11.951489999999469,0.7309873928950602
11.951939999999013,0.7332003212569365
15.973020000004908,0.5540556147706851
20.95408000000316,0.3877329379516118
20.9652700000006,0.3831611767989338
21.116690000002563,0.3853496667918409
21.973369999999704,0.3520167946930902
22.949670000001788,0.3278889239664211
22.967980000001265,0.3297607789553039
23.96294000000489,0.2984762003827365
25.030220000000558,0.2810436065814249
25.03113999999914,0.2801664872114475
25.05240000000049,0.284314298562744
25.07020000000193,0.2822420244566246
26.01015000000189,0.2644799568956585
26.030259999999544,0.2603406804125844
26.05879999999888,0.2657687966968538
27.00904000000446,0.2435037017738586
27.029569999998785,0.2419745998431402
27.04834000000119,0.2451634225969141
28.96803000000364,0.2079185810455416
34.99973000000318,0.1382698319324763
39.094779999999446,0.1145453389659521
41.96452000000136,0.103752959909264
44.94769000000088,0.0942200344725937
48.06790000000183,0.0848525880918875
51.05088999999862,0.0800936419467224
53.94381000000431,0.0757574981426775
56.95259000000078,0.0723296786560766
63.99094999999943,0.0663218398084236
86.92595000000438,0.0475848855290507
91.92431000000217,0.0430686572674664
94.92588999999862,0.0412279606366573
97.92423000000416,0.0394545176572031
99.90239999999903,0.0388252906136661
105.92025999999896,0.0376873264039386
