R/Ropt,V(R)
0.0995049504950495,0.377
0.199009900990099,0.567
0.29851485148514856,0.6869999999999999
0.398019801980198,0.758
0.4975247524752476,0.8320000000000001
0.5970297029702971,0.875
0.6965346534653466,0.932
0.796039603960396,0.951
0.8955445544554456,0.98
0.9950495049504952,0.998
1.0945544554455446,0.9989999999999999
1.1940594059405942,1.007
1.2935643564356436,1.004
1.3930693069306932,1.008
1.4925742574257426,1.0110000000000001
1.592079207920792,1.017
1.6915841584158418,1.0130000000000001
1.7910891089108911,1.0190000000000001
1.8905940594059405,1.022
1.9900990099009903,1.0210000000000001
