R/Ropt,V(R)
0.11403508771929824,0.32569230769230767
0.22807017543859648,0.5498846153846154
0.34210526315789475,0.7238846153846155
0.45614035087719296,0.8499230769230769
0.5701754385964912,0.9157307692307692
0.6842105263157895,0.986
0.7982456140350876,1.0283846153846155
0.9122807017543859,1.0852692307692307
1.026315789473684,1.0886153846153845
1.1403508771929824,1.1098076923076923
1.2543859649122808,1.1187307692307693
1.368421052631579,1.1388076923076924
1.482456140350877,1.1488461538461539
1.5964912280701753,1.1477307692307692
1.7105263157894737,1.1644615384615384
1.8245614035087718,1.1711538461538462
1.9385964912280702,1.1845384615384615
2.052631578947368,1.1956923076923078
2.1666666666666665,1.2046153846153846
2.280701754385965,1.2168846153846153
